1: ([37.614508, -122.350132], [37.679323, -122.329709])
2: ([37.435900, -122.183708], [37.566046, -122.074737])
3: ([37.804287, -122.214327], [37.538837, -122.124326])
4: ([37.490886, -122.186926], [37.667857, -122.214542])
5: ([37.626334, -122.093229], [37.827257, -122.338356])
6: ([37.464732, -122.347002], [37.789512, -122.217143])
7: ([37.537340, -122.370790], [37.498289, -122.248839])
8: ([37.617587, -122.358751], [37.462353, -122.163815])
9: ([37.810629, -122.136472], [37.552978, -122.271175])
10: ([37.781546, -122.311075], [37.536726, -122.180177])
11: ([37.517535, -122.113184], [37.737641, -122.163110])
12: ([37.465602, -122.115738], [37.658679, -122.303840])
13: ([37.774443, -122.296418], [37.491286, -122.211935])
14: ([37.554656, -122.248343], [37.784156, -122.177080])
15: ([37.711154, -122.345145], [37.437114, -122.356200])
